location,date,vaccine,total_vaccinations
Argentina,11/02/2021,Sputnik V,610351
Argentina,12/02/2021,Oxford/AstraZeneca,161
Argentina,12/02/2021,Sinopharm/Beijing,91
Argentina,12/02/2021,Sputnik V,626193
Argentina,13/02/2021,Oxford/AstraZeneca,163
Argentina,13/02/2021,Sinopharm/Beijing,93
Argentina,13/02/2021,Sputnik V,629225
Argentina,14/02/2021,Sinopharm/Beijing,95
Argentina,14/02/2021,Sputnik V,629376
Argentina,15/02/2021,Pfizer/BioNTech,17
Argentina,15/02/2021,Sinopharm/Beijing,97
Argentina,15/02/2021,Sputnik V,630691
Argentina,16/02/2021,Oxford/AstraZeneca,175
Argentina,16/02/2021,Pfizer/BioNTech,18
Argentina,16/02/2021,Sinopharm/Beijing,99
Argentina,16/02/2021,Sputnik V,631989
Argentina,17/02/2021,Oxford/AstraZeneca,186
Argentina,17/02/2021,Sinopharm/Beijing,102
Argentina,17/02/2021,Sputnik V,656392
Argentina,18/02/2021,Oxford/AstraZeneca,217
Argentina,18/02/2021,Pfizer/BioNTech,19
Argentina,18/02/2021,Sinopharm/Beijing,106
Argentina,18/02/2021,Sputnik V,720204
Argentina,19/02/2021,Oxford/AstraZeneca,407
Argentina,19/02/2021,Sinopharm/Beijing,107
Argentina,19/02/2021,Sputnik V,787926
Argentina,20/02/2021,Oxford/AstraZeneca,555
Argentina,20/02/2021,Sinopharm/Beijing,108
Argentina,20/02/2021,Sputnik V,820401
Argentina,21/02/2021,Oxford/AstraZeneca,956
Argentina,21/02/2021,Sputnik V,840182
Argentina,22/02/2021,Oxford/AstraZeneca,23563
Argentina,22/02/2021,Sputnik V,885167
Argentina,23/02/2021,Oxford/AstraZeneca,73777
Argentina,23/02/2021,Sinopharm/Beijing,110
Argentina,23/02/2021,Sputnik V,921935
Argentina,24/02/2021,Oxford/AstraZeneca,135880
Argentina,24/02/2021,Sinopharm/Beijing,113
Argentina,24/02/2021,Sputnik V,953698
Argentina,25/02/2021,Oxford/AstraZeneca,189058
Argentina,25/02/2021,Sinopharm/Beijing,117
Argentina,25/02/2021,Sputnik V,980016
Argentina,26/02/2021,Oxford/AstraZeneca,245133
Argentina,26/02/2021,Sinopharm/Beijing,126
Argentina,26/02/2021,Sputnik V,1005658
Argentina,27/02/2021,Moderna,4
Argentina,27/02/2021,Oxford/AstraZeneca,258482
Argentina,27/02/2021,Sinopharm/Beijing,127
Argentina,27/02/2021,Sputnik V,1010218
Argentina,28/02/2021,Oxford/AstraZeneca,263833
Argentina,28/02/2021,Sinopharm/Beijing,128
Argentina,28/02/2021,Sputnik V,1010995
Argentina,1/03/2021,Oxford/AstraZeneca,317172
Argentina,1/03/2021,Sinopharm/Beijing,830
Argentina,1/03/2021,Sputnik V,1031542
Argentina,2/03/2021,Oxford/AstraZeneca,368821
Argentina,2/03/2021,Sinopharm/Beijing,5796
Argentina,2/03/2021,Sputnik V,1050574
Argentina,3/03/2021,Oxford/AstraZeneca,404822
Argentina,3/03/2021,Sinopharm/Beijing,23633
Argentina,3/03/2021,Sputnik V,1068268
Argentina,4/03/2021,Oxford/AstraZeneca,430553
Argentina,4/03/2021,Sinopharm/Beijing,87941
Argentina,4/03/2021,Sputnik V,1090334
Argentina,5/03/2021,Oxford/AstraZeneca,454854
Argentina,5/03/2021,Sinopharm/Beijing,154460
Argentina,5/03/2021,Sputnik V,1111281
Argentina,6/03/2021,Oxford/AstraZeneca,462773
Argentina,6/03/2021,Sinopharm/Beijing,196888
Argentina,6/03/2021,Sputnik V,1115885
Argentina,7/03/2021,Oxford/AstraZeneca,467749
