location,date,vaccine,total_vaccinations
France,11/09/2021,Pfizer/BioNTech,73544469
France,12/09/2021,Johnson&Johnson,1061722
France,12/09/2021,Moderna,9761156
France,12/09/2021,Oxford/AstraZeneca,7828243
France,12/09/2021,Pfizer/BioNTech,73587029
France,13/09/2021,Johnson&Johnson,1063070
France,13/09/2021,Moderna,9796733
France,13/09/2021,Oxford/AstraZeneca,7828626
France,13/09/2021,Pfizer/BioNTech,73781738
France,14/09/2021,Johnson&Johnson,1064588
France,14/09/2021,Moderna,9853136
France,14/09/2021,Oxford/AstraZeneca,7828978
France,14/09/2021,Pfizer/BioNTech,73982450
France,15/09/2021,Johnson&Johnson,1065712
France,15/09/2021,Moderna,9901451
France,15/09/2021,Oxford/AstraZeneca,7829297
France,15/09/2021,Pfizer/BioNTech,74232824
France,16/09/2021,Johnson&Johnson,1066844
France,16/09/2021,Moderna,9957079
France,16/09/2021,Oxford/AstraZeneca,7829688
France,16/09/2021,Pfizer/BioNTech,74414256
France,17/09/2021,Johnson&Johnson,1067764
France,17/09/2021,Moderna,10033966
France,17/09/2021,Oxford/AstraZeneca,7830070
France,17/09/2021,Pfizer/BioNTech,74621951
France,18/09/2021,Johnson&Johnson,1068236
France,18/09/2021,Moderna,10068591
France,18/09/2021,Oxford/AstraZeneca,7830280
France,18/09/2021,Pfizer/BioNTech,74790153
France,19/09/2021,Johnson&Johnson,1068421
France,19/09/2021,Moderna,10072742
France,19/09/2021,Oxford/AstraZeneca,7830342
France,19/09/2021,Pfizer/BioNTech,74819752
France,20/09/2021,Johnson&Johnson,1068892
France,20/09/2021,Moderna,10102810
France,20/09/2021,Oxford/AstraZeneca,7830612
France,20/09/2021,Pfizer/BioNTech,74977432
France,21/09/2021,Johnson&Johnson,1069337
France,21/09/2021,Moderna,10150508
France,21/09/2021,Oxford/AstraZeneca,7830952
France,21/09/2021,Pfizer/BioNTech,75136083
France,22/09/2021,Johnson&Johnson,1069737
France,22/09/2021,Moderna,10188964
France,22/09/2021,Oxford/AstraZeneca,7831254
France,22/09/2021,Pfizer/BioNTech,75343510
France,23/09/2021,Johnson&Johnson,1070241
France,23/09/2021,Moderna,10236491
France,23/09/2021,Oxford/AstraZeneca,7831558
France,23/09/2021,Pfizer/BioNTech,75493038
France,24/09/2021,Johnson&Johnson,1070672
France,24/09/2021,Moderna,10305409
France,24/09/2021,Oxford/AstraZeneca,7831914
France,24/09/2021,Pfizer/BioNTech,75663626
France,25/09/2021,Johnson&Johnson,1070964
France,25/09/2021,Moderna,10335441
France,25/09/2021,Oxford/AstraZeneca,7832092
France,25/09/2021,Pfizer/BioNTech,75800329
France,26/09/2021,Johnson&Johnson,1071041
France,26/09/2021,Moderna,10339559
France,26/09/2021,Oxford/AstraZeneca,7832166
France,26/09/2021,Pfizer/BioNTech,75821703
France,27/09/2021,Johnson&Johnson,1071322
France,27/09/2021,Moderna,10366564
France,27/09/2021,Oxford/AstraZeneca,7832500
France,27/09/2021,Pfizer/BioNTech,75952283
France,28/09/2021,Johnson&Johnson,1071649
France,28/09/2021,Moderna,10409164
France,28/09/2021,Oxford/AstraZeneca,7832800
France,28/09/2021,Pfizer/BioNTech,76075900
France,29/09/2021,Johnson&Johnson,1072047
France,29/09/2021,Moderna,10443535
France,29/09/2021,Oxford/AstraZeneca,7833068
France,29/09/2021,Pfizer/BioNTech,76239461
France,30/09/2021,Johnson&Johnson,1072455
France,30/09/2021,Moderna,10488764
France,30/09/2021,Oxford/AstraZeneca,7833316
France,30/09/2021,Pfizer/BioNTech,76360049
France,1/10/2021,Johnson&Johnson,1072922
France,1/10/2021,Moderna,10551424
France,1/10/2021,Oxford/AstraZeneca,7833504
France,1/10/2021,Pfizer/BioNTech,76519262
France,2/10/2021,Johnson&Johnson,1073142
France,2/10/2021,Moderna,10579090
France,2/10/2021,Oxford/AstraZeneca,7833609
France,2/10/2021,Pfizer/BioNTech,76630209
France,3/10/2021,Johnson&Johnson,1073229
France,3/10/2021,Moderna,10582331
France,3/10/2021,Oxford/AstraZeneca,7833648
France,3/10/2021,Pfizer/BioNTech,76645160
France,4/10/2021,Johnson&Johnson,1073613
France,4/10/2021,Moderna,10607578
France,4/10/2021,Oxford/AstraZeneca,7833842
France,4/10/2021,Pfizer/BioNTech,76765766
France,5/10/2021,Johnson&Johnson,1073920
France,5/10/2021,Moderna,10650353
France,5/10/2021,Oxford/AstraZeneca,7834017
France,5/10/2021,Pfizer/BioNTech,76881995
France,6/10/2021,Johnson&Johnson,1074193
France,6/10/2021,Moderna,10684139
France,6/10/2021,Oxford/AstraZeneca,7834205
France,6/10/2021,Pfizer/BioNTech,77035664
France,7/10/2021,Johnson&Johnson,1074488
France,7/10/2021,Moderna,10727958
France,7/10/2021,Oxford/AstraZeneca,7834363
France,7/10/2021,Pfizer/BioNTech,77149788
France,8/10/2021,Johnson&Johnson,1074871
France,8/10/2021,Moderna,10790910
France,8/10/2021,Oxford/AstraZeneca,7834534
France,8/10/2021,Pfizer/BioNTech,77305594
France,9/10/2021,Johnson&Johnson,1075077
France,9/10/2021,Moderna,10815807
France,9/10/2021,Oxford/AstraZeneca,7834624
France,9/10/2021,Pfizer/BioNTech,77406613
France,10/10/2021,Johnson&Johnson,1075179
France,10/10/2021,Moderna,10818722
France,10/10/2021,Oxford/AstraZeneca,7834656
France,10/10/2021,Pfizer/BioNTech,77418918
France,11/10/2021,Johnson&Johnson,1075447
France,11/10/2021,Moderna,10842345
France,11/10/2021,Oxford/AstraZeneca,7834794
France,11/10/2021,Pfizer/BioNTech,77536667
France,12/10/2021,Johnson&Johnson,1075672
France,12/10/2021,Moderna,10880730
France,12/10/2021,Oxford/AstraZeneca,7834921
France,12/10/2021,Pfizer/BioNTech,77654841
France,13/10/2021,Johnson&Johnson,1075922
France,13/10/2021,Moderna,10912816
France,13/10/2021,Oxford/AstraZeneca,7835069
France,13/10/2021,Pfizer/BioNTech,77799955
France,14/10/2021,Johnson&Johnson,1076263
France,14/10/2021,Moderna,10954080
France,14/10/2021,Oxford/AstraZeneca,7835229
France,14/10/2021,Pfizer/BioNTech,77910322
France,15/10/2021,Johnson&Johnson,1076616
France,15/10/2021,Moderna,11013176
France,15/10/2021,Oxford/AstraZeneca,7835400
France,15/10/2021,Pfizer/BioNTech,78064350
France,16/10/2021,Johnson&Johnson,1076791
France,16/10/2021,Moderna,11028864
France,16/10/2021,Oxford/AstraZeneca,7835485
France,16/10/2021,Pfizer/BioNTech,78160563
France,17/10/2021,Johnson&Johnson,1076863
France,17/10/2021,Moderna,11030853
France,17/10/2021,Oxford/AstraZeneca,7835522
France,17/10/2021,Pfizer/BioNTech,78171198
France,18/10/2021,Johnson&Johnson,1077162
France,18/10/2021,Moderna,11043419
France,18/10/2021,Oxford/AstraZeneca,7835654
France,18/10/2021,Pfizer/BioNTech,78297416
France,19/10/2021,Johnson&Johnson,1077394
France,19/10/2021,Moderna,11060243
France,19/10/2021,Oxford/AstraZeneca,7835803
France,19/10/2021,Pfizer/BioNTech,78429524
France,20/10/2021,Johnson&Johnson,1077657
France,20/10/2021,Moderna,11074225
France,20/10/2021,Oxford/AstraZeneca,7835960
France,20/10/2021,Pfizer/BioNTech,78600013
France,21/10/2021,Johnson&Johnson,1077919
France,21/10/2021,Moderna,11091083
France,21/10/2021,Oxford/AstraZeneca,7836125
France,21/10/2021,Pfizer/BioNTech,78738182
France,22/10/2021,Johnson&Johnson,1078163
France,22/10/2021,Moderna,11115292
France,22/10/2021,Oxford/AstraZeneca,7836271
France,22/10/2021,Pfizer/BioNTech,78919648
France,23/10/2021,Johnson&Johnson,1078297
France,23/10/2021,Moderna,11125717
France,23/10/2021,Oxford/AstraZeneca,7836344
France,23/10/2021,Pfizer/BioNTech,79022778
France,24/10/2021,Johnson&Johnson,1078340
France,24/10/2021,Moderna,11127194
France,24/10/2021,Oxford/AstraZeneca,7836387
France,24/10/2021,Pfizer/BioNTech,79032617
France,25/10/2021,Johnson&Johnson,1078567
France,25/10/2021,Moderna,11136205
France,25/10/2021,Oxford/AstraZeneca,7836562
France,25/10/2021,Pfizer/BioNTech,79168013
France,26/10/2021,Johnson&Johnson,1078781
France,26/10/2021,Moderna,11148758
France,26/10/2021,Oxford/AstraZeneca,7836705
France,26/10/2021,Pfizer/BioNTech,79301315
France,27/10/2021,Johnson&Johnson,1078993
France,27/10/2021,Moderna,11160220
France,27/10/2021,Oxford/AstraZeneca,7836824
France,27/10/2021,Pfizer/BioNTech,79475227
France,28/10/2021,Johnson&Johnson,1079203
France,28/10/2021,Moderna,11174244
France,28/10/2021,Oxford/AstraZeneca,7836994
France,28/10/2021,Pfizer/BioNTech,79608259
France,29/10/2021,Johnson&Johnson,1079450
France,29/10/2021,Moderna,11193182
France,29/10/2021,Oxford/AstraZeneca,7837167
France,29/10/2021,Pfizer/BioNTech,79789495
France,30/10/2021,Johnson&Johnson,1079557
France,30/10/2021,Moderna,11201363
France,30/10/2021,Oxford/AstraZeneca,7837252
France,30/10/2021,Pfizer/BioNTech,79885373
France,31/10/2021,Johnson&Johnson,1079621
France,31/10/2021,Moderna,11202403
France,31/10/2021,Oxford/AstraZeneca,7837286
France,31/10/2021,Pfizer/BioNTech,79894084
France,1/11/2021,Johnson&Johnson,1079728
France,1/11/2021,Moderna,11203560
France,1/11/2021,Oxford/AstraZeneca,7837321
France,1/11/2021,Pfizer/BioNTech,79909425
France,2/11/2021,Johnson&Johnson,1079915
France,2/11/2021,Moderna,11214797
France,2/11/2021,Oxford/AstraZeneca,7837442
France,2/11/2021,Pfizer/BioNTech,80058133
France,3/11/2021,Johnson&Johnson,1080078
France,3/11/2021,Moderna,11225755
France,3/11/2021,Oxford/AstraZeneca,7837579
France,3/11/2021,Pfizer/BioNTech,80244067
France,4/11/2021,Johnson&Johnson,1080281
France,4/11/2021,Moderna,11238584
France,4/11/2021,Oxford/AstraZeneca,7837693
France,4/11/2021,Pfizer/BioNTech,80400026
France,5/11/2021,Johnson&Johnson,1080431
France,5/11/2021,Moderna,11257195
France,5/11/2021,Oxford/AstraZeneca,7837841
France,5/11/2021,Pfizer/BioNTech,80608390
France,6/11/2021,Johnson&Johnson,1080520
France,6/11/2021,Moderna,11265883
France,6/11/2021,Oxford/AstraZeneca,7837909
France,6/11/2021,Pfizer/BioNTech,80720684
France,7/11/2021,Johnson&Johnson,1080607
France,7/11/2021,Moderna,11267472
France,7/11/2021,Oxford/AstraZeneca,7837939
France,7/11/2021,Pfizer/BioNTech,80730776
France,8/11/2021,Johnson&Johnson,1080790
France,8/11/2021,Moderna,11276608
France,8/11/2021,Oxford/AstraZeneca,7838082
France,8/11/2021,Pfizer/BioNTech,80907153
France,9/11/2021,Johnson&Johnson,1080966
France,9/11/2021,Moderna,11288671
France,9/11/2021,Oxford/AstraZeneca,7838226
France,9/11/2021,Pfizer/BioNTech,81123949
France,10/11/2021,Johnson&Johnson,1081124
France,10/11/2021,Moderna,11302053
France,10/11/2021,Oxford/AstraZeneca,7838386
France,10/11/2021,Pfizer/BioNTech,81384262
France,11/11/2021,Johnson&Johnson,1081235
France,11/11/2021,Moderna,11304010
France,11/11/2021,Oxford/AstraZeneca,7838450
France,11/11/2021,Pfizer/BioNTech,81406651
France,12/11/2021,Johnson&Johnson,1081363
France,12/11/2021,Moderna,11324040
France,12/11/2021,Oxford/AstraZeneca,7838597
France,12/11/2021,Pfizer/BioNTech,81654590
France,13/11/2021,Johnson&Johnson,1081455
France,13/11/2021,Moderna,11332830
France,13/11/2021,Oxford/AstraZeneca,7838679
France,13/11/2021,Pfizer/BioNTech,81779428
France,14/11/2021,Johnson&Johnson,1081519
France,14/11/2021,Moderna,11334025
France,14/11/2021,Oxford/AstraZeneca,7838707
France,14/11/2021,Pfizer/BioNTech,81791552
France,15/11/2021,Johnson&Johnson,1081646
France,15/11/2021,Moderna,11343757
France,15/11/2021,Oxford/AstraZeneca,7838886
France,15/11/2021,Pfizer/BioNTech,82001811
France,16/11/2021,Johnson&Johnson,1081775
France,16/11/2021,Moderna,11360145
France,16/11/2021,Oxford/AstraZeneca,7839031
France,16/11/2021,Pfizer/BioNTech,82253533
France,17/11/2021,Johnson&Johnson,1081931
France,17/11/2021,Moderna,11373050
France,17/11/2021,Oxford/AstraZeneca,7839184
France,17/11/2021,Pfizer/BioNTech,82521415
France,18/11/2021,Johnson&Johnson,1082082
France,18/11/2021,Moderna,11390360
France,18/11/2021,Oxford/AstraZeneca,7839341
France,18/11/2021,Pfizer/BioNTech,82765162
France,19/11/2021,Johnson&Johnson,1082195
France,19/11/2021,Moderna,11413812
France,19/11/2021,Oxford/AstraZeneca,7839554
France,19/11/2021,Pfizer/BioNTech,83080190
France,20/11/2021,Johnson&Johnson,1082282
France,20/11/2021,Moderna,11423901
France,20/11/2021,Oxford/AstraZeneca,7839667
France,20/11/2021,Pfizer/BioNTech,83234388
France,21/11/2021,Johnson&Johnson,1082361
France,21/11/2021,Moderna,11425199
France,21/11/2021,Oxford/AstraZeneca,7839698
France,21/11/2021,Pfizer/BioNTech,83249792
France,22/11/2021,Johnson&Johnson,1082507
France,22/11/2021,Moderna,11433537
France,22/11/2021,Oxford/AstraZeneca,7839905
France,22/11/2021,Pfizer/BioNTech,83477943
France,23/11/2021,Johnson&Johnson,1082622
France,23/11/2021,Moderna,11447647
France,23/11/2021,Oxford/AstraZeneca,7840111
France,23/11/2021,Pfizer/BioNTech,83764752
France,24/11/2021,Johnson&Johnson,1082750
France,24/11/2021,Moderna,11460315
France,24/11/2021,Oxford/AstraZeneca,7840311
France,24/11/2021,Pfizer/BioNTech,84062794
France,25/11/2021,Johnson&Johnson,1082893
France,25/11/2021,Moderna,11478487
France,25/11/2021,Oxford/AstraZeneca,7840530
France,25/11/2021,Pfizer/BioNTech,84375817
France,26/11/2021,Johnson&Johnson,1083034
France,26/11/2021,Moderna,11511470
France,26/11/2021,Oxford/AstraZeneca,7840826
France,26/11/2021,Pfizer/BioNTech,84830754
France,27/11/2021,Johnson&Johnson,1083113
France,27/11/2021,Moderna,11529409
France,27/11/2021,Oxford/AstraZeneca,7840976
France,27/11/2021,Pfizer/BioNTech,85101015
France,28/11/2021,Johnson&Johnson,1083174
France,28/11/2021,Moderna,11532515
France,28/11/2021,Oxford/AstraZeneca,7841042
France,28/11/2021,Pfizer/BioNTech,85168604
France,29/11/2021,Johnson&Johnson,1083311
France,29/11/2021,Moderna,11553433
France,29/11/2021,Oxford/AstraZeneca,7841283
France,29/11/2021,Pfizer/BioNTech,85563256
France,30/11/2021,Johnson&Johnson,1083438
France,30/11/2021,Moderna,11588292
France,30/11/2021,Oxford/AstraZeneca,7841604
France,30/11/2021,Pfizer/BioNTech,86083015
France,1/12/2021,Johnson&Johnson,1083605
France,1/12/2021,Moderna,11622458
France,1/12/2021,Oxford/AstraZeneca,7841987
France,1/12/2021,Pfizer/BioNTech,86621504
France,2/12/2021,Johnson&Johnson,1083788
France,2/12/2021,Moderna,11668942
France,2/12/2021,Oxford/AstraZeneca,7842366
France,2/12/2021,Pfizer/BioNTech,87196589
France,3/12/2021,Johnson&Johnson,1083945
France,3/12/2021,Moderna,11735324
France,3/12/2021,Oxford/AstraZeneca,7842773
France,3/12/2021,Pfizer/BioNTech,87845943
France,4/12/2021,Johnson&Johnson,1084067
France,4/12/2021,Moderna,11780619
France,4/12/2021,Oxford/AstraZeneca,7843003
France,4/12/2021,Pfizer/BioNTech,88215928
France,5/12/2021,Johnson&Johnson,1084139
France,5/12/2021,Moderna,11797598
France,5/12/2021,Oxford/AstraZeneca,7843070
France,5/12/2021,Pfizer/BioNTech,88315028
France,6/12/2021,Johnson&Johnson,1084317
France,6/12/2021,Moderna,11887773
France,6/12/2021,Oxford/AstraZeneca,7843438
France,6/12/2021,Pfizer/BioNTech,88819887
France,7/12/2021,Johnson&Johnson,1084448
France,7/12/2021,Moderna,12029232
France,7/12/2021,Oxford/AstraZeneca,7843873
France,7/12/2021,Pfizer/BioNTech,89439980
France,8/12/2021,Johnson&Johnson,1084570
France,8/12/2021,Moderna,12182479
France,8/12/2021,Oxford/AstraZeneca,7844284
France,8/12/2021,Pfizer/BioNTech,89997371
France,9/12/2021,Johnson&Johnson,1084678
France,9/12/2021,Moderna,12377448
France,9/12/2021,Oxford/AstraZeneca,7844727
France,9/12/2021,Pfizer/BioNTech,90585511
France,10/12/2021,Johnson&Johnson,1084826
France,10/12/2021,Moderna,12594119
France,10/12/2021,Oxford/AstraZeneca,7845209
France,10/12/2021,Pfizer/BioNTech,91245416
France,11/12/2021,Johnson&Johnson,1084897
France,11/12/2021,Moderna,12747134
France,11/12/2021,Oxford/AstraZeneca,7845522
France,11/12/2021,Pfizer/BioNTech,91624562
France,12/12/2021,Johnson&Johnson,1084942
France,12/12/2021,Moderna,12814708
France,12/12/2021,Oxford/AstraZeneca,7845622
France,12/12/2021,Pfizer/BioNTech,91728256
France,13/12/2021,Johnson&Johnson,1085075
France,13/12/2021,Moderna,13068386
France,13/12/2021,Oxford/AstraZeneca,7846075
France,13/12/2021,Pfizer/BioNTech,92175589
France,14/12/2021,Johnson&Johnson,1085197
France,14/12/2021,Moderna,13414578
France,14/12/2021,Oxford/AstraZeneca,7846651
France,14/12/2021,Pfizer/BioNTech,92743377
France,15/12/2021,Johnson&Johnson,1085359
France,15/12/2021,Moderna,13743569
France,15/12/2021,Oxford/AstraZeneca,7847199
France,15/12/2021,Pfizer/BioNTech,93253063
France,16/12/2021,Johnson&Johnson,1085457
France,16/12/2021,Moderna,14102418
France,16/12/2021,Oxford/AstraZeneca,7847753
France,16/12/2021,Pfizer/BioNTech,93804013
France,17/12/2021,Johnson&Johnson,1085562
France,17/12/2021,Moderna,14481172
France,17/12/2021,Oxford/AstraZeneca,7848368
France,17/12/2021,Pfizer/BioNTech,94395179
France,18/12/2021,Johnson&Johnson,1085645
France,18/12/2021,Moderna,14727036
France,18/12/2021,Oxford/AstraZeneca,7848720
France,18/12/2021,Pfizer/BioNTech,94726539
France,19/12/2021,Johnson&Johnson,1085667
France,19/12/2021,Moderna,14831450
France,19/12/2021,Oxford/AstraZeneca,7848901
France,19/12/2021,Pfizer/BioNTech,94829022
France,20/12/2021,Johnson&Johnson,1085760
France,20/12/2021,Moderna,15150478
France,20/12/2021,Oxford/AstraZeneca,7849500
France,20/12/2021,Pfizer/BioNTech,95231518
France,21/12/2021,Johnson&Johnson,1085841
France,21/12/2021,Moderna,15510951
France,21/12/2021,Oxford/AstraZeneca,7850175
France,21/12/2021,Pfizer/BioNTech,95706573
France,22/12/2021,Johnson&Johnson,1085927
France,22/12/2021,Moderna,15820286
France,22/12/2021,Oxford/AstraZeneca,7850806
France,22/12/2021,Pfizer/BioNTech,96113272
France,23/12/2021,Johnson&Johnson,1086021
France,23/12/2021,Moderna,16056567
France,23/12/2021,Oxford/AstraZeneca,7851352
France,23/12/2021,Pfizer/BioNTech,96432230
France,24/12/2021,Johnson&Johnson,1086084
France,24/12/2021,Moderna,16110821
France,24/12/2021,Oxford/AstraZeneca,7851590
France,24/12/2021,Pfizer/BioNTech,96525845
France,25/12/2021,Johnson&Johnson,1086098
France,25/12/2021,Moderna,16113704
France,25/12/2021,Oxford/AstraZeneca,7851614
France,25/12/2021,Pfizer/BioNTech,96534897
France,26/12/2021,Johnson&Johnson,1086107
France,26/12/2021,Moderna,16144472
France,26/12/2021,Oxford/AstraZeneca,7851702
France,26/12/2021,Pfizer/BioNTech,96572877
France,27/12/2021,Johnson&Johnson,1086188
France,27/12/2021,Moderna,16401573
France,27/12/2021,Oxford/AstraZeneca,7852180
France,27/12/2021,Pfizer/BioNTech,96884628
France,28/12/2021,Johnson&Johnson,1086251
France,28/12/2021,Moderna,16720551
France,28/12/2021,Oxford/AstraZeneca,7852759
France,28/12/2021,Pfizer/BioNTech,97268176
France,29/12/2021,Johnson&Johnson,1086343
France,29/12/2021,Moderna,17009183
France,29/12/2021,Oxford/AstraZeneca,7853265
France,29/12/2021,Pfizer/BioNTech,97609941
France,30/12/2021,Johnson&Johnson,1086422
France,30/12/2021,Moderna,17256238
France,30/12/2021,Oxford/AstraZeneca,7853792
France,30/12/2021,Pfizer/BioNTech,97895857
France,31/12/2021,Johnson&Johnson,1086457
France,31/12/2021,Moderna,17322756
France,31/12/2021,Oxford/AstraZeneca,7853979
France,31/12/2021,Pfizer/BioNTech,97983544
France,1/01/2022,Johnson&Johnson,1086473
France,1/01/2022,Moderna,17326545
France,1/01/2022,Oxford/AstraZeneca,7854005
France,1/01/2022,Pfizer/BioNTech,97993097
France,2/01/2022,Johnson&Johnson,1086537
France,2/01/2022,Moderna,17362508
France,2/01/2022,Oxford/AstraZeneca,7854081
France,2/01/2022,Pfizer/BioNTech,98034702
France,3/01/2022,Johnson&Johnson,1086663
France,3/01/2022,Moderna,17674859
France,3/01/2022,Oxford/AstraZeneca,7854592
France,3/01/2022,Pfizer/BioNTech,98348108
France,4/01/2022,Johnson&Johnson,1086751
France,4/01/2022,Moderna,18076287
France,4/01/2022,Oxford/AstraZeneca,7855141
France,4/01/2022,Pfizer/BioNTech,98743124
France,5/01/2022,Johnson&Johnson,1086846
France,5/01/2022,Moderna,18421294
France,5/01/2022,Oxford/AstraZeneca,7855643
France,5/01/2022,Pfizer/BioNTech,99133594
France,6/01/2022,Johnson&Johnson,1086946
France,6/01/2022,Moderna,18811686
France,6/01/2022,Oxford/AstraZeneca,7856122
France,6/01/2022,Pfizer/BioNTech,99539017
France,7/01/2022,Johnson&Johnson,1087013
France,7/01/2022,Moderna,19235915
France,7/01/2022,Oxford/AstraZeneca,7856624
France,7/01/2022,Pfizer/BioNTech,100002234
France,8/01/2022,Johnson&Johnson,1087042
France,8/01/2022,Moderna,19473789
France,8/01/2022,Oxford/AstraZeneca,7856884
France,8/01/2022,Pfizer/BioNTech,100314408
France,9/01/2022,Johnson&Johnson,1087067
France,9/01/2022,Moderna,19548151
France,9/01/2022,Oxford/AstraZeneca,7856999
France,9/01/2022,Pfizer/BioNTech,100410996
France,10/01/2022,Johnson&Johnson,1087161
France,10/01/2022,Moderna,19823526
France,10/01/2022,Oxford/AstraZeneca,7857433
France,10/01/2022,Pfizer/BioNTech,100734985
France,11/01/2022,Johnson&Johnson,1087234
France,11/01/2022,Moderna,20138205
France,11/01/2022,Oxford/AstraZeneca,7857892
France,11/01/2022,Pfizer/BioNTech,101112826
France,12/01/2022,Johnson&Johnson,1087303
France,12/01/2022,Moderna,20383954
France,12/01/2022,Oxford/AstraZeneca,7858298
France,12/01/2022,Pfizer/BioNTech,101477426
France,13/01/2022,Johnson&Johnson,1087405
France,13/01/2022,Moderna,20650017
France,13/01/2022,Oxford/AstraZeneca,7858692
France,13/01/2022,Pfizer/BioNTech,101831160
France,14/01/2022,Johnson&Johnson,1087475
France,14/01/2022,Moderna,20950807
France,14/01/2022,Oxford/AstraZeneca,7859125
France,14/01/2022,Pfizer/BioNTech,102246706
France,15/01/2022,Johnson&Johnson,1087504
France,15/01/2022,Moderna,21116763
France,15/01/2022,Oxford/AstraZeneca,7859402
France,15/01/2022,Pfizer/BioNTech,102526912
France,16/01/2022,Johnson&Johnson,1087540
France,16/01/2022,Moderna,21159705
France,16/01/2022,Oxford/AstraZeneca,7859512
France,16/01/2022,Pfizer/BioNTech,102602096
France,17/01/2022,Johnson&Johnson,1087602
France,17/01/2022,Moderna,21320537
France,17/01/2022,Oxford/AstraZeneca,7859840
France,17/01/2022,Pfizer/BioNTech,102847328
France,18/01/2022,Johnson&Johnson,1087643
France,18/01/2022,Moderna,21497733
France,18/01/2022,Oxford/AstraZeneca,7860201
France,18/01/2022,Pfizer/BioNTech,103129693
France,19/01/2022,Johnson&Johnson,1087712
France,19/01/2022,Moderna,21624099
France,19/01/2022,Oxford/AstraZeneca,7860530
France,19/01/2022,Pfizer/BioNTech,103395975
France,20/01/2022,Johnson&Johnson,1087793
France,20/01/2022,Moderna,21762450
France,20/01/2022,Oxford/AstraZeneca,7860887
France,20/01/2022,Pfizer/BioNTech,103641282
France,21/01/2022,Johnson&Johnson,1087839
France,21/01/2022,Moderna,21925726
France,21/01/2022,Oxford/AstraZeneca,7861233
France,21/01/2022,Pfizer/BioNTech,103943091
France,22/01/2022,Johnson&Johnson,1087885
France,22/01/2022,Moderna,22014240
France,22/01/2022,Oxford/AstraZeneca,7861454
France,22/01/2022,Pfizer/BioNTech,104149562
France,23/01/2022,Johnson&Johnson,1087902
France,23/01/2022,Moderna,22032955
France,23/01/2022,Oxford/AstraZeneca,7861531
France,23/01/2022,Pfizer/BioNTech,104199324
France,24/01/2022,Johnson&Johnson,1087946
France,24/01/2022,Moderna,22124554
France,24/01/2022,Oxford/AstraZeneca,7861851
France,24/01/2022,Pfizer/BioNTech,104389594
France,25/01/2022,Johnson&Johnson,1088011
France,25/01/2022,Moderna,22222667
France,25/01/2022,Oxford/AstraZeneca,7862022
France,25/01/2022,Pfizer/BioNTech,104609247
France,26/01/2022,Johnson&Johnson,1088058
France,26/01/2022,Moderna,22295235
France,26/01/2022,Oxford/AstraZeneca,7862099
France,26/01/2022,Pfizer/BioNTech,104835872
France,27/01/2022,Johnson&Johnson,1088107
France,27/01/2022,Moderna,22373882
France,27/01/2022,Oxford/AstraZeneca,7862151
France,27/01/2022,Pfizer/BioNTech,105028912
France,28/01/2022,Johnson&Johnson,1088152
France,28/01/2022,Moderna,22487850
France,28/01/2022,Oxford/AstraZeneca,7862266
France,28/01/2022,Pfizer/BioNTech,105306690
France,29/01/2022,Johnson&Johnson,1088180
France,29/01/2022,Moderna,22548000
France,29/01/2022,Oxford/AstraZeneca,7862363
France,29/01/2022,Pfizer/BioNTech,105502517
France,30/01/2022,Johnson&Johnson,1088204
France,30/01/2022,Moderna,22560165
France,30/01/2022,Oxford/AstraZeneca,7862413
France,30/01/2022,Pfizer/BioNTech,105548492
France,31/01/2022,Johnson&Johnson,1088262
France,31/01/2022,Moderna,22615649
France,31/01/2022,Oxford/AstraZeneca,7862503
France,31/01/2022,Pfizer/BioNTech,105696985
France,1/02/2022,Johnson&Johnson,1088312
France,1/02/2022,Moderna,22674893
France,1/02/2022,Oxford/AstraZeneca,7862601
France,1/02/2022,Pfizer/BioNTech,105874829
France,2/02/2022,Johnson&Johnson,1088359
France,2/02/2022,Moderna,22726851
France,2/02/2022,Oxford/AstraZeneca,7862686
France,2/02/2022,Pfizer/BioNTech,106082388
France,3/02/2022,Johnson&Johnson,1088410
France,3/02/2022,Moderna,22778243
France,3/02/2022,Oxford/AstraZeneca,7862777
France,3/02/2022,Pfizer/BioNTech,106245978
France,4/02/2022,Johnson&Johnson,1088429
France,4/02/2022,Moderna,22862509
France,4/02/2022,Oxford/AstraZeneca,7862890
France,4/02/2022,Pfizer/BioNTech,106484736
France,5/02/2022,Johnson&Johnson,1088451
France,5/02/2022,Moderna,22908466
France,5/02/2022,Oxford/AstraZeneca,7862958
France,5/02/2022,Pfizer/BioNTech,106657119
France,6/02/2022,Johnson&Johnson,1088467
France,6/02/2022,Moderna,22916649
France,6/02/2022,Oxford/AstraZeneca,7862968
France,6/02/2022,Pfizer/BioNTech,106692805
France,7/02/2022,Johnson&Johnson,1088510
France,7/02/2022,Moderna,22965438
France,7/02/2022,Oxford/AstraZeneca,7863043
France,7/02/2022,Pfizer/BioNTech,106857638
France,8/02/2022,Johnson&Johnson,1088565
France,8/02/2022,Moderna,23017701
France,8/02/2022,Pfizer/BioNTech,107025774
France,9/02/2022,Johnson&Johnson,1088604
France,9/02/2022,Moderna,23064916
France,9/02/2022,Pfizer/BioNTech,107224481
France,10/02/2022,Johnson&Johnson,1088660
France,10/02/2022,Moderna,23107988
France,10/02/2022,Pfizer/BioNTech,107380437
France,11/02/2022,Johnson&Johnson,1088701
France,11/02/2022,Moderna,23175038
