date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,share_doses_used,total_boosters,,
12/01/2021,Alabama,78134,377025,70861,7270,,,0.207,,,
13/01/2021,Alabama,84040,378975,74792,9245,5906,5906,0.222,,,
14/01/2021,Alabama,92300,435350,80480,,8260,7083,0.212,,,
15/01/2021,Alabama,100567,444650,86956,13488,8267,7478,0.226,,,
16/01/2021,Alabama,,,,,,7498,,,,
17/01/2021,Alabama,,,,,,7509,,,,
18/01/2021,Alabama,,,,,,7517,,,,
19/01/2021,Alabama,130795,444650,114319,16346,,7523,0.294,,,
20/01/2021,Alabama,139200,483275,121113,17956,8405,7880,0.288,,,
21/01/2021,Alabama,165919,493125,144429,21345,26719,10517,0.336,,,
22/01/2021,Alabama,199314,519525,174317,24840,33395,14107,0.384,,,
23/01/2021,Alabama,221540,521225,193955,27422,22226,16202,0.425,,,
24/01/2021,Alabama,243737,521225,213833,29736,22197,18294,0.468,,,
25/01/2021,Alabama,250612,521225,220464,29978,6875,18196,0.481,,,
26/01/2021,Alabama,254959,569000,223854,30933,4347,17738,0.448,,,
27/01/2021,Alabama,266444,634000,232633,33595,11485,18178,0.42,,,
28/01/2021,Alabama,278993,655275,241337,37431,12549,16153,0.426,,,
29/01/2021,Alabama,300915,659400,256601,44073,21922,14514,0.456,,,
30/01/2021,Alabama,342436,659400,288368,53742,41521,17271,0.519,,,
31/01/2021,Alabama,353974,659400,298301,55331,11538,15748,0.537,,,
1/02/2021,Alabama,358280,659400,301628,56308,4306,15381,0.543,,,
2/02/2021,Alabama,371882,680550,312711,58825,13602,16703,0.546,,,
3/02/2021,Alabama,388339,765150,324998,62990,16457,17414,0.508,,,
4/02/2021,Alabama,408428,799675,338845,69155,20089,18491,0.511,,,
5/02/2021,Alabama,430597,799875,353522,76603,22169,18526,0.538,,,
6/02/2021,Alabama,455173,804100,370275,84278,24576,16105,0.566,,,
7/02/2021,Alabama,462332,804100,375567,86141,7159,15480,0.575,,,
8/02/2021,Alabama,467636,804100,378514,88453,5304,15622,0.582,,,
9/02/2021,Alabama,490969,823600,395196,95033,23333,17012,0.596,,,
10/02/2021,Alabama,515802,861175,412462,102520,24833,18209,0.599,,,
11/02/2021,Alabama,543237,911875,431259,111036,27435,19258,0.596,,,
12/02/2021,Alabama,571115,936200,448071,122019,27878,20074,0.61,,,
13/02/2021,Alabama,601159,963600,467032,133029,30044,20855,0.624,,,
14/02/2021,Alabama,612254,965550,474065,137032,11095,21417,0.634,,,
15/02/2021,Alabama,,,,,,22405,,,,
16/02/2021,Alabama,636682,1015775,486206,149288,,20816,0.627,,,
17/02/2021,Alabama,650020,1032175,494424,154341,13338,19174,0.63,,,
18/02/2021,Alabama,672038,1032175,505660,165104,22018,18400,0.651,,,
19/02/2021,Alabama,739132,1077600,545431,192304,67094,24002,0.686,,,
20/02/2021,Alabama,776936,1078800,560968,214512,37804,25111,0.72,,,
21/02/2021,Alabama,788613,1082100,567505,219639,11677,25194,0.729,,,
22/02/2021,Alabama,793614,1082100,583741,228101,5001,24164,0.733,,,
23/02/2021,Alabama,815108,1084440,593936,239425,21494,25489,0.752,,,
24/02/2021,Alabama,839703,1138650,604602,253615,24595,27098,0.737,,,
25/02/2021,Alabama,864757,1170120,615100,268465,25054,27531,0.739,,,
26/02/2021,Alabama,893859,1380380,627063,286095,29102,22104,0.648,,,
27/02/2021,Alabama,931090,1402180,643208,307868,37231,22022,0.664,,,
28/02/2021,Alabama,942502,1402280,649745,313290,11412,21984,0.672,,,
1/03/2021,Alabama,948393,1402280,653309,316073,5891,22111,0.676,,,
2/03/2021,Alabama,972161,1461320,663187,330046,23768,22436,0.665,,,
3/03/2021,Alabama,1000031,1469100,674810,346841,27870,22904,0.681,,,
4/03/2021,Alabama,1032171,1530470,688791,365456,32140,23916,0.674,,,
5/03/2021,Alabama,1064578,1556460,704173,383078,32407,24388,0.684,,,
6/03/2021,Alabama,1099697,1628350,721109,402061,35119,24087,0.675,,,
7/03/2021,Alabama,1110132,1628350,727681,406723,10435,23947,0.682,,,
8/03/2021,Alabama,1116676,1628350,732967,409937,6544,24040,0.686,,,
9/03/2021,Alabama,1140984,1689050,747268,420083,24308,24118,0.676,,,
10/03/2021,Alabama,1173820,1775660,768502,435018,32836,24827,0.661,,,
11/03/2021,Alabama,1209802,1816230,790864,452746,35982,25376,0.666,,,
12/03/2021,Alabama,1249205,1838400,816418,472325,39403,26375,0.68,,,
13/03/2021,Alabama,1288242,1918560,841394,492755,39037,26935,0.671,,,
14/03/2021,Alabama,1298612,1918560,849337,497653,10370,26926,0.677,,,
15/03/2021,Alabama,1306419,1918560,854302,501344,7807,27106,0.681,,,
16/03/2021,Alabama,1332298,2004160,871536,511869,25879,27331,0.665,,,
17/03/2021,Alabama,1363987,2080870,893767,523649,31689,27167,0.655,,,
18/03/2021,Alabama,1390066,2118650,912663,533375,26079,25752,0.656,,,
19/03/2021,Alabama,1426696,2141210,937614,547257,36630,25356,0.666,,,
20/03/2021,Alabama,1460782,2177880,960539,561254,34086,24649,0.671,,,
21/03/2021,Alabama,1472666,2177880,968459,566632,11884,24865,0.676,,,
22/03/2021,Alabama,1479271,2177880,972986,569127,6605,24693,0.679,,,
23/03/2021,Alabama,1509445,2275030,994253,579598,30174,25307,0.663,,,
24/03/2021,Alabama,1542416,2403720,1019858,589979,32971,25490,0.642,,,
25/03/2021,Alabama,1579091,2459980,1048838,600666,36675,27004,0.642,,,
26/03/2021,Alabama,1611404,2497410,1072623,611694,32313,26387,0.645,,,
27/03/2021,Alabama,1645858,2535880,1098597,623385,34454,26439,0.649,,,
28/03/2021,Alabama,1659102,2537050,1108253,628500,13244,26634,0.654,,,
29/03/2021,Alabama,1666585,2537050,1113924,631388,7483,26759,0.657,,,
30/03/2021,Alabama,1697641,2722700,1134739,643450,31056,26885,0.624,,,
31/03/2021,Alabama,1728736,2796630,1155139,656899,31095,26617,0.618,,,
1/04/2021,Alabama,1771979,2839540,1184284,673773,43243,27555,0.624,,,
2/04/2021,Alabama,1813462,2872410,1211424,691082,41483,28865,0.631,,,
3/04/2021,Alabama,1847243,2891780,1234131,705197,33781,28769,0.639,,,
4/04/2021,Alabama,1858833,2892950,1242706,709849,11590,28533,0.643,,,
5/04/2021,Alabama,1864857,2892950,1248029,711596,6024,28325,0.645,,,
6/04/2021,Alabama,1896920,3106870,1267859,725270,32063,28468,0.611,,,
7/04/2021,Alabama,1935221,3149910,1291487,744961,38301,29498,0.614,,,
8/04/2021,Alabama,1976344,3170520,1317995,764450,41123,29195,0.623,,,
9/04/2021,Alabama,2021334,3248260,1344658,788325,44990,29696,0.622,,,
10/04/2021,Alabama,2065327,3278980,1371201,811323,43993,31155,0.63,,,
11/04/2021,Alabama,2082605,3278980,1382951,819550,17278,31967,0.635,,,
12/04/2021,Alabama,2092489,3278980,1389598,824052,9884,32519,0.638,,,
13/04/2021,Alabama,2127317,3358930,1407463,844353,34828,32914,0.633,,,
14/04/2021,Alabama,2168891,3493380,1426530,868550,41574,33381,0.621,,,
15/04/2021,Alabama,2207392,3516420,1442051,893002,38501,33007,0.628,,,
16/04/2021,Alabama,2245574,3531670,1459377,915654,38182,32034,0.636,,,
17/04/2021,Alabama,2280686,3664640,1476162,935377,35112,30766,0.622,,,
18/04/2021,Alabama,2292276,3664740,1481314,943129,11590,29953,0.625,,,
19/04/2021,Alabama,2297563,3664740,1483779,946333,5287,29296,0.627,,,
20/04/2021,Alabama,2327764,3761730,1494421,966251,30201,28635,0.619,,,
21/04/2021,Alabama,2360527,3796070,1507116,987379,32763,27377,0.622,,,
22/04/2021,Alabama,2394304,3825010,1518928,1010415,33777,26702,0.626,,,
23/04/2021,Alabama,2429629,3898820,1531741,1033996,35325,26294,0.623,,,
24/04/2021,Alabama,2461510,3960530,1543544,1054863,31881,25832,0.622,,,
25/04/2021,Alabama,2471409,3960530,1546659,1062524,9899,25590,0.624,,,
26/04/2021,Alabama,2478227,3960530,1549782,1066659,6818,25809,0.626,,,
27/04/2021,Alabama,2499694,4009430,1558652,1079815,21467,24561,0.623,,,
28/04/2021,Alabama,2527815,4033570,1568315,1098820,28121,23898,0.627,,,
29/04/2021,Alabama,2559938,4042070,1579093,1121348,32123,23662,0.633,,,
30/04/2021,Alabama,2591163,4088030,1589518,1143488,31225,23076,0.634,,,
1/05/2021,Alabama,2617405,4130550,1599130,1161725,26242,22271,0.634,,,
2/05/2021,Alabama,2622717,4130550,1601433,1165479,5312,21615,0.635,,,
3/05/2021,Alabama,2627322,4130550,1603454,1168235,4605,21299,0.636,,,
4/05/2021,Alabama,2644674,4145390,1609919,1179793,17352,20711,0.638,,,
5/05/2021,Alabama,2670926,4187860,1618791,1199064,26252,20444,0.638,,,
6/05/2021,Alabama,2673181,4225140,1619783,1201303,2255,16178,0.633,,,
7/05/2021,Alabama,2726356,4241420,1636710,1240335,53175,19313,0.643,,,
8/05/2021,Alabama,2758021,4277330,1649688,1263965,31665,20088,0.645,,,
9/05/2021,Alabama,2768204,4277330,1654267,1270858,10183,20784,0.647,,,
10/05/2021,Alabama,2773615,4277330,1657672,1273670,5411,20899,0.648,,,
11/05/2021,Alabama,2773902,4295160,1658191,1273999,287,18461,0.646,,,
12/05/2021,Alabama,2791631,4311320,1664353,1286565,17729,17244,0.648,,,
13/05/2021,Alabama,2831853,4322400,1678119,1314534,40222,22667,0.655,,,
14/05/2021,Alabama,2859591,4348790,1687875,1334176,27738,19034,0.658,,,
15/05/2021,Alabama,2881314,4373130,1697289,1348023,21723,17613,0.659,,,
16/05/2021,Alabama,2886106,4373130,1699751,1350643,4792,16843,0.66,,,
17/05/2021,Alabama,2886153,4373130,1699915,1350830,47,16077,0.66,,,
18/05/2021,Alabama,2905553,4389040,1709333,1362380,19400,18807,0.662,,,
19/05/2021,Alabama,2906102,4393980,1709761,1362834,549,16353,0.661,,,
20/05/2021,Alabama,2939161,4415280,1725694,1382327,33059,15330,0.666,,,
21/05/2021,Alabama,2945488,4449370,1727437,1387356,6327,12271,0.662,,,
22/05/2021,Alabama,2962661,4476640,1736645,1396990,17173,11621,0.662,,,
23/05/2021,Alabama,2981931,4476640,1746820,1407769,19270,13689,0.666,,,
24/05/2021,Alabama,2982081,4476640,1747012,1407917,150,13704,0.666,,,
25/05/2021,Alabama,2996346,4484660,1754294,1415771,14265,12970,0.668,,,
26/05/2021,Alabama,3002607,4501400,1757607,1419599,6261,13786,0.667,,,
27/05/2021,Alabama,3007387,4520480,1758850,1423605,4780,9747,0.665,,,
28/05/2021,Alabama,3016803,4523700,1763553,1429238,9416,10188,0.667,,,
29/05/2021,Alabama,3020540,4578590,1765515,1431669,3737,8268,0.66,,,
30/05/2021,Alabama,3021454,4578590,1766055,1432446,914,5646,0.66,,,
31/05/2021,Alabama,,,,,,5683,,,,
1/06/2021,Alabama,3022276,4578590,1766784,1433267,,3704,0.66,,,
2/06/2021,Alabama,3025283,4583270,1768055,1435324,3007,3239,0.66,,,
3/06/2021,Alabama,3025695,4597950,1768288,1435719,412,2615,0.658,,,
4/06/2021,Alabama,3032765,4606930,1771964,1440101,7070,2280,0.658,,,
5/06/2021,Alabama,3032931,4637330,1772245,1440289,166,1770,0.654,,,
6/06/2021,Alabama,3035058,4637330,1773379,1441834,2127,1943,0.654,,,
7/06/2021,Alabama,3036419,4637330,1774139,1442775,1361,2079,0.655,,,
8/06/2021,Alabama,3036833,4646130,1774535,1443230,414,2080,0.654,,,
9/06/2021,Alabama,3040485,4646550,1776278,1445608,3652,2172,0.654,,,
10/06/2021,Alabama,3064250,4648150,1787017,1460230,23765,5508,0.659,,,
11/06/2021,Alabama,3078445,4658570,1793119,1468898,14195,6526,0.661,,,
12/06/2021,Alabama,3105159,4678220,1805486,1485108,26714,10318,0.664,,,
13/06/2021,Alabama,3114649,4678220,1810074,1490848,9490,11370,0.666,,,
14/06/2021,Alabama,3128112,4678220,1815885,1499941,13463,13099,0.669,,,
15/06/2021,Alabama,3129657,4686280,1816769,1501171,1545,13261,0.668,,,
16/06/2021,Alabama,3141802,4692070,1822146,1508504,12145,14474,0.67,,,
17/06/2021,Alabama,3253283,4726010,1898131,1546119,111481,27005,0.688,,,
18/06/2021,Alabama,3254330,4734100,1898704,1546983,1047,25126,0.687,,,
19/06/2021,Alabama,3275273,4758560,1909005,1558881,20943,24302,0.688,,,
20/06/2021,Alabama,3282193,4758560,1913032,1562192,6920,23935,0.69,,,
21/06/2021,Alabama,3285448,4758560,1915122,1563573,3255,22477,0.69,,,
22/06/2021,Alabama,3291351,4759120,1918334,1566908,5903,23099,0.692,,,
23/06/2021,Alabama,3298895,4767580,1922707,1570452,7544,22442,0.692,,,
24/06/2021,Alabama,3308713,4769800,1928656,1574676,9818,7919,0.694,,,
25/06/2021,Alabama,3308961,4783230,1928903,1574934,248,7804,0.692,,,
26/06/2021,Alabama,3317156,4801760,1933773,1578780,8195,5983,0.691,,,
27/06/2021,Alabama,3330128,4801760,1941681,1584456,12972,6848,0.694,,,
28/06/2021,Alabama,3341617,4801760,1948135,1590001,11489,8024,0.696,,,
29/06/2021,Alabama,3349904,4810050,1953410,1594040,8287,8365,0.696,,,
30/06/2021,Alabama,3350607,4813050,1954166,1594625,703,7387,0.696,,,
1/07/2021,Alabama,3365396,4825450,1962745,1601802,14789,8098,0.697,,,
2/07/2021,Alabama,3365623,4836250,1962952,1602022,227,8095,0.696,,,
3/07/2021,Alabama,3381996,4845190,1969834,1612803,16373,9263,0.698,,,
4/07/2021,Alabama,3382042,4845190,1969971,1612913,46,7416,0.698,,,
5/07/2021,Alabama,,,,,,6512,,,,
6/07/2021,Alabama,3392366,4845190,1976343,1617584,,6066,0.7,,,
7/07/2021,Alabama,3396338,4845190,1978951,1619647,3972,6533,0.701,,,
8/07/2021,Alabama,3402487,4866130,1982250,1623114,6149,5299,0.699,,,
9/07/2021,Alabama,3408591,4872940,1985582,1626323,6104,6138,0.699,,,
10/07/2021,Alabama,3414916,4884130,1988956,1629745,6325,4703,0.699,,,
11/07/2021,Alabama,3422016,4884130,1992957,1633408,7100,5711,0.701,,,
12/07/2021,Alabama,3422020,4884130,1993099,1633505,4,4974,0.701,,,
13/07/2021,Alabama,3434360,4885650,2000752,1638866,12340,5999,0.703,,,
14/07/2021,Alabama,3434499,4893240,2000914,1639032,139,5452,0.702,,,
15/07/2021,Alabama,3448153,4895780,2009200,1645083,13654,6524,0.704,,,
16/07/2021,Alabama,3455086,4904730,2013559,1647995,6933,6642,0.704,,,
17/07/2021,Alabama,3455278,4912720,2013853,1648172,192,5766,0.703,,,
18/07/2021,Alabama,3462968,4912720,2018807,1651404,7690,5850,0.705,,,
19/07/2021,Alabama,3468625,4919470,2022782,1653604,5657,6658,0.705,,,
20/07/2021,Alabama,3471361,4928670,2024953,1654644,2736,5286,0.704,,,
21/07/2021,Alabama,3485659,4935470,2034814,1659775,14298,7309,0.706,,,
22/07/2021,Alabama,3494632,4945380,2041288,1662812,8973,6640,0.707,,,
23/07/2021,Alabama,3494892,4979270,2041597,1663031,260,5687,0.702,,,
24/07/2021,Alabama,3504304,5001210,2048890,1665751,9412,7004,0.701,,,
25/07/2021,Alabama,3516558,5001210,2058672,1668818,12254,7656,0.703,,,
26/07/2021,Alabama,3527448,5001210,2067533,1671098,10890,8403,0.705,,,
27/07/2021,Alabama,3534356,5015500,2073358,1672423,6908,8999,0.705,,,
28/07/2021,Alabama,3557652,5031270,2092767,1677048,23296,10285,0.707,,,
29/07/2021,Alabama,3557966,5050560,2093242,1677279,314,9048,0.704,,,
30/07/2021,Alabama,3586810,5092510,2116551,1683367,28844,13131,0.704,,,
31/07/2021,Alabama,3587175,5159890,2117044,1683584,365,11839,0.695,,,
1/08/2021,Alabama,3603940,5159890,2130105,1687404,16765,12483,0.698,,,
2/08/2021,Alabama,3603951,5159890,2130309,1687444,11,10929,0.698,,,
3/08/2021,Alabama,3634744,5167970,2154479,1693504,30793,14341,0.703,,,
4/08/2021,Alabama,3646234,5201860,2164048,1696031,11490,12655,0.701,,,
5/08/2021,Alabama,3651071,5220840,2168426,1697144,4837,13301,0.699,,,
6/08/2021,Alabama,3681013,5262690,2192650,1703519,29942,13458,0.699,,,
7/08/2021,Alabama,3699467,5330000,2207345,1707895,18454,16042,0.694,,,
8/08/2021,Alabama,3699583,5330000,2207724,1708026,116,13663,0.694,,,
9/08/2021,Alabama,3712533,5330000,2217468,1711014,12950,15512,0.697,,,
10/08/2021,Alabama,3730982,5358370,2231388,1715676,18449,13748,0.696,,,
11/08/2021,Alabama,3733090,5389260,2233401,1716368,2108,12408,0.693,,,
12/08/2021,Alabama,3748680,5418340,2245275,1720455,15590,13944,0.692,,,
13/08/2021,Alabama,3764110,5539910,2256357,1725039,15430,11871,0.679,,,
14/08/2021,Alabama,3769434,5554810,2260327,1726776,5324,9995,0.679,,,
15/08/2021,Alabama,3792348,5554810,2275050,1734722,22914,13252,0.683,,,
16/08/2021,Alabama,3815944,5554810,2289141,1743610,23596,14773,0.687,,,
17/08/2021,Alabama,3828166,5581220,2295863,1748529,12222,13883,0.686,,,
18/08/2021,Alabama,3838861,5631430,2302598,1752243,10695,15110,0.682,,,
19/08/2021,Alabama,3857905,5688310,2312990,1759489,19044,15604,0.678,,,
20/08/2021,Alabama,3888601,5789070,2330695,1770725,30696,17784,0.672,,,
21/08/2021,Alabama,3906516,5863360,2340782,1777585,17915,19583,0.666,,,
22/08/2021,Alabama,3916146,5863220,2345934,1781590,9630,17685,0.668,,,
23/08/2021,Alabama,3943465,5863220,2358550,1793712,27319,18217,0.673,,,
24/08/2021,Alabama,3963352,5863220,2368289,1802279,19887,19312,0.676,,,
25/08/2021,Alabama,3966712,5889060,2370282,1803904,3360,18264,0.674,,,
26/08/2021,Alabama,3988529,5962240,2380869,1813256,21817,18661,0.669,,,
27/08/2021,Alabama,4044688,6045390,2399704,1838347,56159,22298,0.669,,,
28/08/2021,Alabama,4072870,6085890,2415007,1850031,28182,23765,0.669,,,
29/08/2021,Alabama,4097445,6102830,2426453,1860445,24575,25900,0.671,,,
30/08/2021,Alabama,4112942,6102130,2432879,1868344,15497,24211,0.674,,,
31/08/2021,Alabama,4136247,6127400,2442247,1880276,23305,24699,0.675,,,
1/09/2021,Alabama,4139337,6151970,2444342,1882050,3090,24661,0.673,,,
2/09/2021,Alabama,4158442,6218000,2452547,1891063,19105,24273,0.669,,,
3/09/2021,Alabama,4178419,6259550,2461343,1900876,19977,19104,0.668,,,
4/09/2021,Alabama,4209610,6294440,2474109,1915710,31191,19534,0.669,,,
5/09/2021,Alabama,,,,,,17362,,,,
6/09/2021,Alabama,,,,,,16486,,,,
7/09/2021,Alabama,4237710,6294340,2485579,1930090,,14495,0.673,,,
8/09/2021,Alabama,4252635,6299020,2491633,1938065,14925,16185,0.675,,,
9/09/2021,Alabama,4255847,6337120,2493041,1940044,3212,13915,0.672,,,
10/09/2021,Alabama,4287769,6388850,2504656,1956859,31922,15621,0.671,,,
11/09/2021,Alabama,4292244,6427570,2506484,1959493,4475,11805,0.668,,,
12/09/2021,Alabama,4313489,6427570,2514065,1971041,21245,13502,0.671,,,
13/09/2021,Alabama,,,,,,13309,,,,
14/09/2021,Alabama,4329528,6447940,2516176,1980807,,13117,0.671,,,
15/09/2021,Alabama,4342220,6485880,2520979,1988025,12692,12798,0.669,,,
16/09/2021,Alabama,4359022,6503890,2526998,1997364,16802,14739,0.67,,,
17/09/2021,Alabama,4383430,6525240,2535635,2010919,24408,13666,0.672,,,
18/09/2021,Alabama,4386893,6545280,2537329,2013023,3463,13521,0.67,,,
19/09/2021,Alabama,4405259,6545280,2543475,2023759,18366,13110,0.673,,,
20/09/2021,Alabama,4415777,6545280,2547021,2030149,10518,13467,0.675,,,
21/09/2021,Alabama,4430711,6547850,2552143,2038644,14934,14455,0.677,,,
22/09/2021,Alabama,4439932,6561280,2555237,2043972,9221,13959,0.677,,,
23/09/2021,Alabama,4441961,6589940,2556115,2045238,2029,11848,0.674,,,
24/09/2021,Alabama,4449282,6601120,2558569,2049383,7321,9407,0.674,,,
25/09/2021,Alabama,4471337,6639550,2565735,2060935,22055,12063,0.673,,,
26/09/2021,Alabama,4485507,6639550,2570413,2069026,14170,11464,0.676,,,
27/09/2021,Alabama,4494228,6639550,2572916,2073717,8721,11207,0.677,,,
28/09/2021,Alabama,4511086,6646890,2577657,2081567,16858,11482,0.679,,,
29/09/2021,Alabama,4514239,6670090,2578863,2083182,3153,10615,0.677,,,
30/09/2021,Alabama,4532608,6665330,2583590,2089852,18369,12950,0.68,,,
1/10/2021,Alabama,4534772,6709370,2584258,2090806,2164,12213,0.676,,,
2/10/2021,Alabama,4544355,6738280,2586950,2094920,9583,10431,0.674,2985.0,,
3/10/2021,Alabama,4565230,6736650,2592096,2103203,20875,11389,0.678,10683.0,,
4/10/2021,Alabama,4579477,6736230,2595947,2109349,14247,12178,0.68,14974.0,,
5/10/2021,Alabama,4584378,6742810,2597448,2111925,4901,10470,0.68,15821.0,,
6/10/2021,Alabama,4594736,6757960,2600070,2115732,10358,11500,0.68,19856.0,,
7/10/2021,Alabama,4604007,6781040,2602402,2118943,9271,10200,0.679,23696.0,,
8/10/2021,Alabama,4624892,6829510,2608058,2126766,20885,12874,0.677,31360.0,,
9/10/2021,Alabama,4630089,6858210,2609534,2128926,5197,12248,0.675,33007.0,,
10/10/2021,Alabama,,,,,,10555,,,,
11/10/2021,Alabama,,,,,,9810,,,,
12/10/2021,Alabama,4657171,6864150,2616672,2139547,,10399,0.678,42621.0,,
13/10/2021,Alabama,4660146,6884990,2617643,2140724,2975,9344,0.677,43473.0,,
14/10/2021,Alabama,4669623,6900590,2620146,2144120,9477,9374,0.677,47184.0,,
15/10/2021,Alabama,4677864,6916550,2622428,2147033,8241,7567,0.676,50387.0,,
16/10/2021,Alabama,4688180,6945360,2625208,2150508,10316,8299,0.675,54596.0,,
17/10/2021,Alabama,4703456,6937340,2629346,2155609,15276,9191,0.678,60775.0,,
18/10/2021,Alabama,4709775,6936920,2631267,2157856,6319,8804,0.679,62992.0,,
19/10/2021,Alabama,4714057,6946650,2632750,2159523,4282,8127,0.679,64151.0,,
20/10/2021,Alabama,4722919,6981680,2634995,2162284,8862,8968,0.676,68128.0,,
21/10/2021,Alabama,4732829,6999770,2637734,2165154,9910,9029,0.676,72537.0,,
22/10/2021,Alabama,4742444,7045270,2644229,2170323,9615,9226,0.673,70977.0,,
23/10/2021,Alabama,4759947,7062480,2648588,2174923,17503,10252,0.674,79836.0,,
24/10/2021,Alabama,4766186,7061780,2650133,2176540,6239,8961,0.675,83012.0,,
25/10/2021,Alabama,4773728,7058840,2652037,2177980,7542,9136,0.676,87259.0,,
26/10/2021,Alabama,4779470,7069650,2653566,2179242,5742,9345,0.676,90226.0,,
27/10/2021,Alabama,4805213,7123260,2659115,2183682,25743,11756,0.675,106328.0,,
28/10/2021,Alabama,4827200,7163060,2663952,2187378,21987,13482,0.674,119985.0,,
29/10/2021,Alabama,4847422,7220460,2668028,2190701,20222,14997,0.671,133115.0,,
30/10/2021,Alabama,4866607,7264740,2672040,2194074,19185,15237,0.67,145269.0,,
31/10/2021,Alabama,4874827,7266450,2673656,2195532,8220,15520,0.671,150509.0,,
1/11/2021,Alabama,4884730,7263250,2676227,2197549,9903,15857,0.673,155963.0,,
2/11/2021,Alabama,4889817,7302580,2677664,2198533,5087,15764,0.67,158669.0,,
3/11/2021,Alabama,4912357,7316580,2682405,2202285,22540,15306,0.671,173053.0,,
4/11/2021,Alabama,4926067,7354360,2685449,2204677,13710,14124,0.67,181577.0,,
5/11/2021,Alabama,4939456,7401100,2688481,2207077,13389,13148,0.667,189925.0,,
6/11/2021,Alabama,4943879,7407740,2689496,2208029,4423,11039,0.667,192473.0,,
7/11/2021,Alabama,4960880,7423960,2693121,2211121,17001,12293,0.668,203008.0,,
8/11/2021,Alabama,4971453,7423960,2695826,2213458,10573,12389,0.67,208680.0,,
9/11/2021,Alabama,4974840,7456320,2696907,2214496,3387,12146,0.667,210032.0,,
10/11/2021,Alabama,4994724,7504060,2701228,2218371,19884,11767,0.666,222047.0,,
11/11/2021,Alabama,,,,,,10202,,,,
12/11/2021,Alabama,5000242,7664290,2702878,2219557,,8684,0.652,224860.0,,
13/11/2021,Alabama,5011123,7683490,2706002,2221462,10881,9606,0.652,230987.0,,
14/11/2021,Alabama,5046821,7680930,2714714,2228585,35698,12277,0.657,251525.0,,
15/11/2021,Alabama,5056706,7679330,2718301,2230181,9885,12179,0.658,256328.0,,
16/11/2021,Alabama,5061882,7696280,2720602,2231219,5176,12435,0.658,258231.0,,
17/11/2021,Alabama,5077480,7723600,2724085,2233411,15598,11822,0.657,268383.0,,
18/11/2021,Alabama,5105635,7750770,2731073,2237829,28155,15450,0.659,285449.0,,
19/11/2021,Alabama,5112835,7781660,2733032,2238958,7200,16085,0.657,289685.0,,
20/11/2021,Alabama,5139179,7825960,2740397,2243092,26344,18294,0.657,304909.0,,
21/11/2021,Alabama,5146029,7822360,2742393,2244148,6850,14173,0.658,308822.0,,
22/11/2021,Alabama,5155007,7818860,2745330,2245543,8978,14043,0.659,313536.0,,
23/11/2021,Alabama,5170333,7827970,2749881,2247882,15326,15493,0.66,322129.0,,
24/11/2021,Alabama,5191035,7847520,2755913,2254666,20702,16222,0.661,330439.0,,
25/11/2021,Alabama,,,,,,13285,,,,
26/11/2021,Alabama,,,,,,13342,,,,
27/11/2021,Alabama,,,,,,10664,,,,
28/11/2021,Alabama,,,,,,10771,,,,
29/11/2021,Alabama,5229021,7802940,2767489,2262464,,10573,0.67,349544.0,,
30/11/2021,Alabama,5242493,7834540,2772024,2264466,13472,10309,0.669,356577.0,,
1/12/2021,Alabama,5259251,7870000,2776759,2266861,16758,9745,0.668,366464.0,,
2/12/2021,Alabama,5269173,7880350,2780216,2268570,9922,10077,0.669,371348.0,,
3/12/2021,Alabama,5301858,7902810,2788826,2273361,32685,13661,0.671,390983.0,,
4/12/2021,Alabama,5311207,7895690,2791469,2274438,9349,13911,0.673,396768.0,,
5/12/2021,Alabama,5335387,7868950,2797899,2278670,24180,16280,0.678,410642.0,,
6/12/2021,Alabama,5348564,7866010,2801384,2281756,13177,17078,0.68,417371.0,,
7/12/2021,Alabama,5358521,7894870,2804132,2283759,9957,16575,0.679,422668.0,,
8/12/2021,Alabama,5372947,7929510,2807664,2286632,14426,16242,0.678,430884.0,,
9/12/2021,Alabama,5379834,7935800,2809478,2288180,6887,15809,0.678,434525.0,,
10/12/2021,Alabama,5404729,7950160,2815260,2293071,24895,14696,0.68,448997.0,,
11/12/2021,Alabama,5421984,7997400,2819200,2296493,17255,15825,0.678,459161.0,,
12/12/2021,Alabama,5427694,7999700,2820475,2297625,5710,13187,0.678,462537.0,,
13/12/2021,Alabama,5436711,7999700,2822664,2299840,9017,12592,0.68,467193.0,,
14/12/2021,Alabama,5449205,8020150,2825574,2302467,12494,12955,0.679,474243.0,,
15/12/2021,Alabama,5460176,8050350,2828316,2304915,10971,12461,0.678,480227.0,,
16/12/2021,Alabama,5465558,8069670,2829865,2306267,5382,12246,0.677,482834.0,,
17/12/2021,Alabama,5484057,8120290,2834061,2309833,18499,11333,0.675,493907.0,,
18/12/2021,Alabama,5498460,8039060,2837454,2312217,14403,10925,0.684,502762.0,,
19/12/2021,Alabama,5503643,8008500,2838792,2313129,5183,10850,0.687,505747.0,,
20/12/2021,Alabama,5510359,7977980,2840554,2314410,6716,10521,0.691,509455.0,,
21/12/2021,Alabama,5518826,7985890,2842738,2316077,8467,9946,0.691,514090.0,,
22/12/2021,Alabama,5531312,8016810,2845635,2318310,12486,10162,0.69,521603.0,,
