location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred,,,,,
Argentina,29/01/2020,70-79,0,0,0,,,,,
Argentina,29/01/2020,80-89,0,0,0,,,,,
Argentina,29/01/2020,90-99,0,0,0,,,,,
Argentina,30/01/2020,100+,0,0,0,,,,,
Argentina,30/01/2020,12-17,0,0,0,,,,,
Argentina,30/01/2020,18-29,0,0,0,,,,,
Argentina,30/01/2020,3-11,0,0,0,,,,,
Argentina,30/01/2020,30-39,0,0,0,,,,,
Argentina,30/01/2020,40-49,0,0,0,,,,,
Argentina,30/01/2020,50-59,0,0,0,,,,,
Argentina,30/01/2020,60-69,0,0,0,,,,,
Argentina,30/01/2020,70-79,0,0,0,,,,,
Argentina,30/01/2020,80-89,0,0,0,,,,,
Argentina,30/01/2020,90-99,0,0,0,,,,,
Argentina,31/01/2020,100+,0,0,0,,,,,
Argentina,31/01/2020,12-17,0,0,0,,,,,
Argentina,31/01/2020,18-29,0,0,0,,,,,
Argentina,31/01/2020,3-11,0,0,0,,,,,
Argentina,31/01/2020,30-39,0,0,0,,,,,
Argentina,31/01/2020,40-49,0,0,0,,,,,
Argentina,31/01/2020,50-59,0,0,0,,,,,
Argentina,31/01/2020,60-69,0,0,0,,,,,
Argentina,31/01/2020,70-79,0,0,0,,,,,
Argentina,31/01/2020,80-89,0,0,0,,,,,
Argentina,31/01/2020,90-99,0,0,0,,,,,
Argentina,1/02/2020,100+,0,0,0,,,,,
Argentina,1/02/2020,12-17,0,0,0,,,,,
Argentina,1/02/2020,18-29,0,0,0,,,,,
Argentina,1/02/2020,3-11,0,0,0,,,,,
Argentina,1/02/2020,30-39,0,0,0,,,,,
Argentina,1/02/2020,40-49,0,0,0,,,,,
Argentina,1/02/2020,50-59,0,0,0,,,,,
Argentina,1/02/2020,60-69,0,0,0,,,,,
Argentina,1/02/2020,70-79,0,0,0,,,,,
Argentina,1/02/2020,80-89,0,0,0,,,,,
Argentina,1/02/2020,90-99,0,0,0,,,,,
Argentina,2/02/2020,100+,0,0,0,,,,,
Argentina,2/02/2020,12-17,0,0,0,,,,,
Argentina,2/02/2020,18-29,0,0,0,,,,,
Argentina,2/02/2020,3-11,0,0,0,,,,,
Argentina,2/02/2020,30-39,0,0,0,,,,,
Argentina,2/02/2020,40-49,0,0,0,,,,,
Argentina,2/02/2020,50-59,0,0,0,,,,,
Argentina,2/02/2020,60-69,0,0,0,,,,,
Argentina,2/02/2020,70-79,0,0,0,,,,,
Argentina,2/02/2020,80-89,0,0,0,,,,,
Argentina,2/02/2020,90-99,0,0,0,,,,,
Argentina,3/02/2020,100+,0,0,0,,,,,
Argentina,3/02/2020,12-17,0,0,0,,,,,
Argentina,3/02/2020,18-29,0,0,0,,,,,
Argentina,3/02/2020,3-11,0,0,0,,,,,
Argentina,3/02/2020,30-39,0,0,0,,,,,
Argentina,3/02/2020,40-49,0,0,0,,,,,
Argentina,3/02/2020,50-59,0,0,0,,,,,
Argentina,3/02/2020,60-69,0,0,0,,,,,
Argentina,3/02/2020,70-79,0,0,0,,,,,
Argentina,3/02/2020,80-89,0,0,0,,,,,
Argentina,3/02/2020,90-99,0,0,0,,,,,
Argentina,4/02/2020,100+,0,0,0,,,,,
Argentina,4/02/2020,12-17,0,0,0,,,,,
Argentina,4/02/2020,18-29,0,0,0,,,,,
Argentina,4/02/2020,3-11,0,0,0,,,,,
Argentina,4/02/2020,30-39,0,0,0,,,,,
Argentina,4/02/2020,40-49,0,0,0,,,,,
Argentina,4/02/2020,50-59,0,0,0,,,,,
Argentina,4/02/2020,60-69,0,0,0,,,,,
Argentina,4/02/2020,70-79,0,0,0,,,,,
Argentina,4/02/2020,80-89,0,0,0,,,,,
Argentina,4/02/2020,90-99,0,0,0,,,,,
Argentina,5/02/2020,100+,0,0,0,,,,,
Argentina,5/02/2020,12-17,0,0,0,,,,,
Argentina,5/02/2020,18-29,0,0,0,,,,,
Argentina,5/02/2020,3-11,0,0,0,,,,,
Argentina,5/02/2020,30-39,0,0,0,,,,,
Argentina,5/02/2020,40-49,0,0,0,,,,,
Argentina,5/02/2020,50-59,0,0,0,,,,,
Argentina,5/02/2020,60-69,0,0,0,,,,,
Argentina,5/02/2020,70-79,0,0,0,,,,,
Argentina,5/02/2020,80-89,0,0,0,,,,,
Argentina,5/02/2020,90-99,0,0,0,,,,,
Argentina,6/02/2020,100+,0,0,0,,,,,
Argentina,6/02/2020,12-17,0,0,0,,,,,
Argentina,6/02/2020,18-29,0,0,0,,,,,
Argentina,6/02/2020,3-11,0,0,0,,,,,
Argentina,6/02/2020,30-39,0,0,0,,,,,
Argentina,6/02/2020,40-49,0,0,0,,,,,
Argentina,6/02/2020,50-59,0,0,0,,,,,
Argentina,6/02/2020,60-69,0,0,0,,,,,
Argentina,6/02/2020,70-79,0,0,0,,,,,
Argentina,6/02/2020,80-89,0,0,0,,,,,
Argentina,6/02/2020,90-99,0,0,0,,,,,
Argentina,7/02/2020,100+,0,0,0,,,,,
Argentina,7/02/2020,12-17,0,0,0,,,,,
Argentina,7/02/2020,18-29,0,0,0,,,,,
Argentina,7/02/2020,3-11,0,0,0,,,,,
Argentina,7/02/2020,30-39,0,0,0,,,,,
Argentina,7/02/2020,40-49,0,0,0,,,,,
Argentina,7/02/2020,50-59,0,0,0,,,,,
Argentina,7/02/2020,60-69,0,0,0,,,,,
Argentina,7/02/2020,70-79,0,0,0,,,,,
Argentina,7/02/2020,80-89,0,0,0,,,,,
Argentina,7/02/2020,90-99,0,0,0,,,,,
Argentina,8/02/2020,100+,0,0,0,,,,,
Argentina,8/02/2020,12-17,0,0,0,,,,,
Argentina,8/02/2020,18-29,0,0,0,,,,,
Argentina,8/02/2020,3-11,0,0,0,,,,,
Argentina,8/02/2020,30-39,0,0,0,,,,,
Argentina,8/02/2020,40-49,0,0,0,,,,,
Argentina,8/02/2020,50-59,0,0,0,,,,,
Argentina,8/02/2020,60-69,0,0,0,,,,,
Argentina,8/02/2020,70-79,0,0,0,,,,,
Argentina,8/02/2020,80-89,0,0,0,,,,,
Argentina,8/02/2020,90-99,0,0,0,,,,,
Argentina,9/02/2020,100+,0,0,0,,,,,
Argentina,9/02/2020,12-17,0,0,0,,,,,
Argentina,9/02/2020,18-29,0,0,0,,,,,
Argentina,9/02/2020,3-11,0,0,0,,,,,
Argentina,9/02/2020,30-39,0,0,0,,,,,
Argentina,9/02/2020,40-49,0,0,0,,,,,
Argentina,9/02/2020,50-59,0,0,0,,,,,
Argentina,9/02/2020,60-69,0,0,0,,,,,
Argentina,9/02/2020,70-79,0,0,0,,,,,
Argentina,9/02/2020,80-89,0,0,0,,,,,
Argentina,9/02/2020,90-99,0,0,0,,,,,
Argentina,10/02/2020,100+,0,0,0,,,,,
Argentina,10/02/2020,12-17,0,0,0,,,,,
Argentina,10/02/2020,18-29,0,0,0,,,,,
Argentina,10/02/2020,3-11,0,0,0,,,,,
Argentina,10/02/2020,30-39,0,0,0,,,,,
Argentina,10/02/2020,40-49,0,0,0,,,,,
Argentina,10/02/2020,50-59,0,0,0,,,,,
Argentina,10/02/2020,60-69,0,0,0,,,,,
Argentina,10/02/2020,70-79,0,0,0,,,,,
Argentina,10/02/2020,80-89,0,0,0,,,,,
Argentina,10/02/2020,90-99,0,0,0,,,,,
Argentina,11/02/2020,100+,0,0,0,,,,,
Argentina,11/02/2020,12-17,0,0,0,,,,,
Argentina,11/02/2020,18-29,0,0,0,,,,,
Argentina,11/02/2020,3-11,0,0,0,,,,,
Argentina,11/02/2020,30-39,0,0,0,,,,,
Argentina,11/02/2020,40-49,0,0,0,,,,,
Argentina,11/02/2020,50-59,0,0,0,,,,,
Argentina,11/02/2020,60-69,0,0,0,,,,,
Argentina,11/02/2020,70-79,0,0,0,,,,,
