location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred,,,,,
Argentina,11/01/2020,50-59,0,0,0,,,,,
Argentina,11/01/2020,60-69,0,0,0,,,,,
Argentina,11/01/2020,70-79,0,0,0,,,,,
Argentina,11/01/2020,80-89,0,0,0,,,,,
Argentina,11/01/2020,90-99,0,0,0,,,,,
Argentina,12/01/2020,100+,0,0,0,,,,,
Argentina,12/01/2020,12-17,0,0,0,,,,,
Argentina,12/01/2020,18-29,0,0,0,,,,,
Argentina,12/01/2020,3-11,0,0,0,,,,,
Argentina,12/01/2020,30-39,0,0,0,,,,,
Argentina,12/01/2020,40-49,0,0,0,,,,,
Argentina,12/01/2020,50-59,0,0,0,,,,,
Argentina,12/01/2020,60-69,0,0,0,,,,,
Argentina,12/01/2020,70-79,0,0,0,,,,,
Argentina,12/01/2020,80-89,0,0,0,,,,,
Argentina,12/01/2020,90-99,0,0,0,,,,,
Argentina,13/01/2020,100+,0,0,0,,,,,
Argentina,13/01/2020,12-17,0,0,0,,,,,
Argentina,13/01/2020,18-29,0,0,0,,,,,
Argentina,13/01/2020,3-11,0,0,0,,,,,
Argentina,13/01/2020,30-39,0,0,0,,,,,
Argentina,13/01/2020,40-49,0,0,0,,,,,
Argentina,13/01/2020,50-59,0,0,0,,,,,
Argentina,13/01/2020,60-69,0,0,0,,,,,
Argentina,13/01/2020,70-79,0,0,0,,,,,
Argentina,13/01/2020,80-89,0,0,0,,,,,
Argentina,13/01/2020,90-99,0,0,0,,,,,
Argentina,14/01/2020,100+,0,0,0,,,,,
Argentina,14/01/2020,12-17,0,0,0,,,,,
Argentina,14/01/2020,18-29,0,0,0,,,,,
Argentina,14/01/2020,3-11,0,0,0,,,,,
Argentina,14/01/2020,30-39,0,0,0,,,,,
Argentina,14/01/2020,40-49,0,0,0,,,,,
Argentina,14/01/2020,50-59,0,0,0,,,,,
Argentina,14/01/2020,60-69,0,0,0,,,,,
Argentina,14/01/2020,70-79,0,0,0,,,,,
Argentina,14/01/2020,80-89,0,0,0,,,,,
Argentina,14/01/2020,90-99,0,0,0,,,,,
Argentina,15/01/2020,100+,0,0,0,,,,,
Argentina,15/01/2020,12-17,0,0,0,,,,,
Argentina,15/01/2020,18-29,0,0,0,,,,,
Argentina,15/01/2020,3-11,0,0,0,,,,,
Argentina,15/01/2020,30-39,0,0,0,,,,,
Argentina,15/01/2020,40-49,0,0,0,,,,,
Argentina,15/01/2020,50-59,0,0,0,,,,,
Argentina,15/01/2020,60-69,0,0,0,,,,,
Argentina,15/01/2020,70-79,0,0,0,,,,,
Argentina,15/01/2020,80-89,0,0,0,,,,,
Argentina,15/01/2020,90-99,0,0,0,,,,,
Argentina,16/01/2020,100+,0,0,0,,,,,
Argentina,16/01/2020,12-17,0,0,0,,,,,
Argentina,16/01/2020,18-29,0,0,0,,,,,
Argentina,16/01/2020,3-11,0,0,0,,,,,
Argentina,16/01/2020,30-39,0,0,0,,,,,
Argentina,16/01/2020,40-49,0,0,0,,,,,
Argentina,16/01/2020,50-59,0,0,0,,,,,
Argentina,16/01/2020,60-69,0,0,0,,,,,
Argentina,16/01/2020,70-79,0,0,0,,,,,
Argentina,16/01/2020,80-89,0,0,0,,,,,
Argentina,16/01/2020,90-99,0,0,0,,,,,
Argentina,17/01/2020,100+,0,0,0,,,,,
Argentina,17/01/2020,12-17,0,0,0,,,,,
Argentina,17/01/2020,18-29,0,0,0,,,,,
Argentina,17/01/2020,3-11,0,0,0,,,,,
Argentina,17/01/2020,30-39,0,0,0,,,,,
Argentina,17/01/2020,40-49,0,0,0,,,,,
Argentina,17/01/2020,50-59,0,0,0,,,,,
Argentina,17/01/2020,60-69,0,0,0,,,,,
Argentina,17/01/2020,70-79,0,0,0,,,,,
Argentina,17/01/2020,80-89,0,0,0,,,,,
Argentina,17/01/2020,90-99,0,0,0,,,,,
Argentina,18/01/2020,100+,0,0,0,,,,,
Argentina,18/01/2020,12-17,0,0,0,,,,,
Argentina,18/01/2020,18-29,0,0,0,,,,,
Argentina,18/01/2020,3-11,0,0,0,,,,,
Argentina,18/01/2020,30-39,0,0,0,,,,,
Argentina,18/01/2020,40-49,0,0,0,,,,,
Argentina,18/01/2020,50-59,0,0,0,,,,,
Argentina,18/01/2020,60-69,0,0,0,,,,,
Argentina,18/01/2020,70-79,0,0,0,,,,,
Argentina,18/01/2020,80-89,0,0,0,,,,,
Argentina,18/01/2020,90-99,0,0,0,,,,,
Argentina,19/01/2020,100+,0,0,0,,,,,
Argentina,19/01/2020,12-17,0,0,0,,,,,
Argentina,19/01/2020,18-29,0,0,0,,,,,
Argentina,19/01/2020,3-11,0,0,0,,,,,
Argentina,19/01/2020,30-39,0,0,0,,,,,
Argentina,19/01/2020,40-49,0,0,0,,,,,
Argentina,19/01/2020,50-59,0,0,0,,,,,
Argentina,19/01/2020,60-69,0,0,0,,,,,
Argentina,19/01/2020,70-79,0,0,0,,,,,
Argentina,19/01/2020,80-89,0,0,0,,,,,
Argentina,19/01/2020,90-99,0,0,0,,,,,
Argentina,20/01/2020,100+,0,0,0,,,,,
Argentina,20/01/2020,12-17,0,0,0,,,,,
Argentina,20/01/2020,18-29,0,0,0,,,,,
Argentina,20/01/2020,3-11,0,0,0,,,,,
Argentina,20/01/2020,30-39,0,0,0,,,,,
Argentina,20/01/2020,40-49,0,0,0,,,,,
Argentina,20/01/2020,50-59,0,0,0,,,,,
Argentina,20/01/2020,60-69,0,0,0,,,,,
Argentina,20/01/2020,70-79,0,0,0,,,,,
Argentina,20/01/2020,80-89,0,0,0,,,,,
Argentina,20/01/2020,90-99,0,0,0,,,,,
Argentina,21/01/2020,100+,0,0,0,,,,,
Argentina,21/01/2020,12-17,0,0,0,,,,,
Argentina,21/01/2020,18-29,0,0,0,,,,,
Argentina,21/01/2020,3-11,0,0,0,,,,,
Argentina,21/01/2020,30-39,0,0,0,,,,,
Argentina,21/01/2020,40-49,0,0,0,,,,,
Argentina,21/01/2020,50-59,0,0,0,,,,,
Argentina,21/01/2020,60-69,0,0,0,,,,,
Argentina,21/01/2020,70-79,0,0,0,,,,,
Argentina,21/01/2020,80-89,0,0,0,,,,,
Argentina,21/01/2020,90-99,0,0,0,,,,,
Argentina,22/01/2020,100+,0,0,0,,,,,
Argentina,22/01/2020,12-17,0,0,0,,,,,
Argentina,22/01/2020,18-29,0,0,0,,,,,
Argentina,22/01/2020,3-11,0,0,0,,,,,
Argentina,22/01/2020,30-39,0,0,0,,,,,
Argentina,22/01/2020,40-49,0,0,0,,,,,
Argentina,22/01/2020,50-59,0,0,0,,,,,
Argentina,22/01/2020,60-69,0,0,0,,,,,
Argentina,22/01/2020,70-79,0,0,0,,,,,
Argentina,22/01/2020,80-89,0,0,0,,,,,
Argentina,22/01/2020,90-99,0,0,0,,,,,
Argentina,23/01/2020,100+,0,0,0,,,,,
Argentina,23/01/2020,12-17,0,0,0,,,,,
Argentina,23/01/2020,18-29,0,0,0,,,,,
Argentina,23/01/2020,3-11,0,0,0,,,,,
Argentina,23/01/2020,30-39,0,0,0,,,,,
Argentina,23/01/2020,40-49,0,0,0,,,,,
Argentina,23/01/2020,50-59,0,0,0,,,,,
Argentina,23/01/2020,60-69,0,0,0,,,,,
Argentina,23/01/2020,70-79,0,0,0,,,,,
Argentina,23/01/2020,80-89,0,0,0,,,,,
Argentina,23/01/2020,90-99,0,0,0,,,,,
Argentina,24/01/2020,100+,0,0,0,,,,,
Argentina,24/01/2020,12-17,0,0,0,,,,,
Argentina,24/01/2020,18-29,0,0,0,,,,,
Argentina,24/01/2020,3-11,0,0,0,,,,,
Argentina,24/01/2020,30-39,0,0,0,,,,,
Argentina,24/01/2020,40-49,0,0,0,,,,,
Argentina,24/01/2020,50-59,0,0,0,,,,,
Argentina,24/01/2020,60-69,0,0,0,,,,,
Argentina,24/01/2020,70-79,0,0,0,,,,,
Argentina,24/01/2020,80-89,0,0,0,,,,,
Argentina,24/01/2020,90-99,0,0,0,,,,,
Argentina,25/01/2020,100+,0,0,0,,,,,
Argentina,25/01/2020,12-17,0,0,0,,,,,
Argentina,25/01/2020,18-29,0,0,0,,,,,
Argentina,25/01/2020,3-11,0,0,0,,,,,
Argentina,25/01/2020,30-39,0,0,0,,,,,
Argentina,25/01/2020,40-49,0,0,0,,,,,
Argentina,25/01/2020,50-59,0,0,0,,,,,
Argentina,25/01/2020,60-69,0,0,0,,,,,
Argentina,25/01/2020,70-79,0,0,0,,,,,
Argentina,25/01/2020,80-89,0,0,0,,,,,
Argentina,25/01/2020,90-99,0,0,0,,,,,
Argentina,26/01/2020,100+,0,0,0,,,,,
Argentina,26/01/2020,12-17,0,0,0,,,,,
Argentina,26/01/2020,18-29,0,0,0,,,,,
Argentina,26/01/2020,3-11,0,0,0,,,,,
Argentina,26/01/2020,30-39,0,0,0,,,,,
Argentina,26/01/2020,40-49,0,0,0,,,,,
Argentina,26/01/2020,50-59,0,0,0,,,,,
Argentina,26/01/2020,60-69,0,0,0,,,,,
Argentina,26/01/2020,70-79,0,0,0,,,,,
Argentina,26/01/2020,80-89,0,0,0,,,,,
Argentina,26/01/2020,90-99,0,0,0,,,,,
Argentina,27/01/2020,100+,0,0,0,,,,,
Argentina,27/01/2020,12-17,0,0,0,,,,,
Argentina,27/01/2020,18-29,0,0,0,,,,,
Argentina,27/01/2020,3-11,0,0,0,,,,,
Argentina,27/01/2020,30-39,0,0,0,,,,,
Argentina,27/01/2020,40-49,0,0,0,,,,,
Argentina,27/01/2020,50-59,0,0,0,,,,,
Argentina,27/01/2020,60-69,0,0,0,,,,,
Argentina,27/01/2020,70-79,0,0,0,,,,,
Argentina,27/01/2020,80-89,0,0,0,,,,,
Argentina,27/01/2020,90-99,0,0,0,,,,,
Argentina,28/01/2020,100+,0,0,0,,,,,
Argentina,28/01/2020,12-17,0,0,0,,,,,
Argentina,28/01/2020,18-29,0,0,0,,,,,
Argentina,28/01/2020,3-11,0,0,0,,,,,
Argentina,28/01/2020,30-39,0,0,0,,,,,
Argentina,28/01/2020,40-49,0,0,0,,,,,
Argentina,28/01/2020,50-59,0,0,0,,,,,
Argentina,28/01/2020,60-69,0,0,0,,,,,
Argentina,28/01/2020,70-79,0,0,0,,,,,
Argentina,28/01/2020,80-89,0,0,0,,,,,
Argentina,28/01/2020,90-99,0,0,0,,,,,
Argentina,29/01/2020,100+,0,0,0,,,,,
Argentina,29/01/2020,12-17,0,0,0,,,,,
Argentina,29/01/2020,18-29,0,0,0,,,,,
Argentina,29/01/2020,3-11,0,0,0,,,,,
Argentina,29/01/2020,30-39,0,0,0,,,,,
Argentina,29/01/2020,40-49,0,0,0,,,,,
Argentina,29/01/2020,50-59,0,0,0,,,,,
Argentina,29/01/2020,60-69,0,0,0,,,,,
